Vehicle	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Total
Toyota Prius		"5,562"	"15,556"	"20,119"	"24,600"	"53,991"	"107,897"	"106,971"	"181,221"	"158,574"	" 139,682 "	" 140,928 "	" 136,463 "	" 164,618 "	" 145,172 "	" 122,776 "	" 113,829 "	" 1,637,959 "
Toyota Camry								"31,341"	"54,477"	"46,272"	" 22,887 "	" 14,587 "	" 9,241 "	" 45,656 "	" 44,448 "	" 39,515 "	" 30,640 "	" 339,064 "
Honda Civic				"13,700"	"21,800"	"25,571"	"25,864"	"31,251"	"32,575"	"31,297"	" 15,119 "	" 7,336 "	" 4,703 "	" 7,156 "	" 7,719 "	" 5,070 "	" 4,887 "	" 234,048 "
Ford Fusion											" 15,554 "	" 20,816 "	" 11,286 "	" 14,100 "	" 37,270 "	" 35,405 "	" 24,681 "	" 159,112 "
Lexus RX400h							"20,674"	"20,161"	"17,291"	"15,200"	" 14,464 "	" 15,119 "	" 10,723 "	" 12,223 "	" 11,307 "	" 9,351 "	" 7,722 "	" 154,235 "
Toyota Prius C														" 30,838 "	" 41,979 "	" 40,570 "	" 38,484 "	" 151,871 "
Toyota Highlander							"17,989"	"31,485"	"22,052"	"19,441"	" 11,086 "	" 7,456 "	" 4,549 "	" 5,921 "	" 5,070 "	" 3,621 "	" 4,015 "	" 132,685 "
Toyota Prius V														" 28,450 "	" 34,989 "	" 30,762 "	" 28,290 "	" 122,491 "
Ford Escape						"2,993"	"18,797"	"20,149"	"21,386"	"17,173"	" 14,787 "	" 11,182 "	" 10,089 "	" 1,440 "				" 117,996 "
Hyundai Sonata													" 19,673 "	" 20,754 "	" 21,559 "	" 21,052 "	" 19,908 "	" 102,946 "
Honda Insight	17	"3,788"	"4,726"	"2,216"	1200	583	666	722	0	0	" 20,572 "	" 20,962 "	" 15,549 "	" 5,846 "	" 4,802 "	" 3,562 "	" 1,458 "	" 86,669 "
Lexus CT 200h													" 14,381 "	" 17,831 "	" 15,071 "	" 17,673 "	" 14,657 "	" 79,613 "
Ford C-Max Hybrid														" 10,935 "	" 28,056 "	" 19,162 "	" 14,177 "	" 72,330 "
Honda Accord						"1,061"	"16,826"	"5,598"	"3,405"	196					 996 	" 13,977 "	" 11,065 "	" 53,124 "
Lexus ES Hybrid														" 7,027 "	" 16,562 "	" 14,837 "	" 11,241 "	" 49,667 "
Kia Optima Hybrid														" 10,245 "	" 13,919 "	" 13,776 "	" 11,492 "	" 49,432 "
Toyota Avalon Hybrid														 747 	" 16,468 "	" 17,048 "	" 11,956 "	" 46,219 "
Ford Lincoln MKZ												" 1,192 "	" 5,739 "	" 6,067 "	" 7,469 "	" 10,033 "	" 8,403 "	" 38,903 "
Chevy Malibu										"2,093"	" 4,162 "	 405 	 24 	" 16,664 "	" 13,779 "	" 1,018 "	 59 	" 38,204 "
Nissan Altima									"8,388"	"8,819"	" 9,357 "	" 6,710 "	" 3,236 "	 103 				" 36,613 "
Buick Lacrosse													" 1,801 "	" 12,010 "	" 7,133 "	" 7,353 "	" 4,042 "	" 32,339 "
Honda CR-Z												" 5,249 "	" 11,330 "	" 4,192 "	" 4,550 "	" 3,562 "	" 3,073 "	" 31,956 "
Lexus HS 250h											" 6,699 "	" 10,663 "	" 2,864 "	 650 	 4 			" 20,880 "
Mercury Mariner							998	"3,174"	"3,722"	"2,329"	" 1,693 "	 890 						" 12,806 "
Saturn Vue									"4,403"	"2,920"	" 2,656 "	 50 						" 10,029 "
Chevy Tahoe										"3,745"	" 3,300 "	" 1,426 "	 519 	 533 	 376 	 65 	 8 	" 9,972 "
Volkswagen Jetta Hybrid														 162 	" 5,655 "	" 1,939 "	 740 	" 8,496 "
Nissan Infiniti Q50															 307 	" 3,456 "	" 4,012 "	" 7,775 "
Lexus GS 450h								"1,784"	"1,645"	678	 469 	 305 	 282 	 615 	 522 	 183 	 91 	" 6,574 "
Buick Regal													 123 	" 2,564 "	" 2,893 "	 662 	 186 	" 6,428 "
GMC Yukon										"1,610"	" 1,933 "	" 1,221 "	 598 	 560 	 288 	 31 	 10 	" 6,251 "
Cadillac Escalade										801	" 1,958 "	" 1,210 "	 819 	 708 	 372 	 41 	 7 	" 5,916 "
Chevrolet Sierra/Silverado											" 1,598 "	" 2,393 "	" 1,165 "	 471 	 104 	 24 	 2 	" 5,757 "
Subaru XV Crosstrek																	" 5,589 "	" 5,589 "
Nissan Pathfinder Hybrid															 334 	" 2,480 "	" 2,245 "	" 5,059 "
Nissan Infiniti QX60															 676 	" 1,678 "	" 2,356 "	" 4,710 "
Porsche Cayenne												 206 	" 1,571 "	" 1,180 "	 615 	 650 		" 4,222 "
Lexus NX Hybrid																 354 	" 2,573 "	" 2,927 "
Mercury Milan											" 1,468 "	" 1,416 "						" 2,884 "
Acura ILX Hybrid														 972 	" 1,461 "	 379 	 22 	" 2,834 "
Lexus LS600hL									937	907	 258 	 129 	 84 	 54 	 115 	 65 	 47 	" 2,596 "
Nissan Infiniti M35h													 378 	 691 	 475 	 180 	 176 	" 1,900 "
Saturn Aura									772	285	 527 	 54 						" 1,638 "
Audi Q5 Hybrid														 270 	 854 	 283 	 97 	" 1,504 "
Toyota RAV4																	" 1,494 "	" 1,494 "
