Vehicle	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Toyota Prius	0	5562	15556	20119	24600	53991	107897	106971	181221	158574	139682	140928	136463	164618	145172	122776	113829
Toyota Camry	0	0	0	0	0	0	0	31341	54477	46272	22887	14587	9241	45656	44448	39515	30640
Honda Civic	0	0	0	13700	21800	25571	25864	31251	32575	31297	15119	7336	4703	7156	7719	5070	4887
Ford Fusion	0	0	0	0	0	0	0	0	0	0	15554	20816	11286	14100	37270	35405	24681
Lexus RX400h	0	0	0	0	0	0	20674	20161	17291	15200	14464	15119	10723	12223	11307	9351	7722
Toyota Prius C	0	0	0	0	0	0	0	0	0	0	0	0	0	30838	41979	40570	38484
Toyota Highlander	0	0	0	0	0	0	17989	31485	22052	19441	11086	7456	4549	5921	5070	3621	4015
Toyota Prius V	0	0	0	0	0	0	0	0	0	0	0	0	0	28450	34989	30762	28290
Ford Escape	0	0	0	0	0	2993	18797	20149	21386	17173	14787	11182	10089	1440	0	0	0
Hyundai Sonata	0	0	0	0	0	0	0	0	0	0	0	0	19673	20754	21559	21052	19908
Honda Insight	17	3788	4726	2216	1200	583	666	722	0	0	20572	20962	15549	5846	4802	3562	1458
Lexus CT 200h	0	0	0	0	0	0	0	0	0	0	0	0	14381	17831	15071	17673	14657
Ford C-Max Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	10935	28056	19162	14177
Honda Accord	0	0	0	0	0	1061	16826	5598	3405	196	0	0	0	0	996	13977	11065
Lexus ES Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	7027	16562	14837	11241
Kia Optima Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	10245	13919	13776	11492
Toyota Avalon Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	747	16468	17048	11956
Ford Lincoln MKZ	0	0	0	0	0	0	0	0	0	0	0	1192	5739	6067	7469	10033	8403
Chevy Malibu	0	0	0	0	0	0	0	0	0	2093	4162	405	24	16664	13779	1018	59
Nissan Altima	0	0	0	0	0	0	0	0	8388	8819	9357	6710	3236	103	0	0	0
Buick Lacrosse	0	0	0	0	0	0	0	0	0	0	0	0	1801	12010	7133	7353	4042
Honda CR-Z	0	0	0	0	0	0	0	0	0	0	0	5249	11330	4192	4550	3562	3073
Lexus HS 250h	0	0	0	0	0	0	0	0	0	0	6699	10663	2864	650	4	0	0
Mercury Mariner	0	0	0	0	0	0	998	3174	3722	2329	1693	890	0	0	0	0	0
Saturn Vue	0	0	0	0	0	0	0	0	4403	2920	2656	50	0	0	0	0	0
Chevy Tahoe	0	0	0	0	0	0	0	0	0	3745	3300	1426	519	533	376	65	8
Volkswagen Jetta Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	162	5655	1939	740
Nissan Infiniti Q50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	3456	4012
Lexus GS 450h	0	0	0	0	0	0	0	1784	1645	678	469	305	282	615	522	183	91
Buick Regal	0	0	0	0	0	0	0	0	0	0	0	0	123	2564	2893	662	186
GMC Yukon	0	0	0	0	0	0	0	0	0	1610	1933	1221	598	560	288	31	10
Cadillac Escalade	0	0	0	0	0	0	0	0	0	801	1958	1210	819	708	372	41	7
Chevrolet Sierra/Silverado	0	0	0	0	0	0	0	0	0	0	1598	2393	1165	471	104	24	2
Subaru XV Crosstrek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5589
Nissan Pathfinder Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	2480	2245
Nissan Infiniti QX60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676	1678	2356
Porsche Cayenne	0	0	0	0	0	0	0	0	0	0	0	206	1571	1180	615	650	0
Lexus NX Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	2573
Mercury Milan	0	0	0	0	0	0	0	0	0	0	1468	1416	0	0	0	0	0
Acura ILX Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	972	1461	379	22
Lexus LS600hL	0	0	0	0	0	0	0	0	937	907	258	129	84	54	115	65	47
Nissan Infiniti M35h	0	0	0	0	0	0	0	0	0	0	0	0	378	691	475	180	176
Saturn Aura	0	0	0	0	0	0	0	0	772	285	527	54	0	0	0	0	0
Audi Q5 Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	270	854	283	97
Toyota RAV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1494
BMW ActiveHybrid 3 (335ih)	0	0	0	0	0	0	0	0	0	0	0	0	0	402	905	151	30
Mercedes S400	0	0	0	0	0	0	0	0	0	0	0	801	309	121	64	10	1
Mazda Tribute	0	0	0	0	0	0	0	0	0	0	0	570	484	90	0	0	0
BMW ActiveHybrid 5 (535ih)	0	0	0	0	0	0	0	0	0	0	0	0	0	403	520	112	12
Chevy Impala Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	565	272
VW Touareg Hybrid	0	0	0	0	0	0	0	0	0	0	0	0	390	250	118	30	16
BMW ActiveHybrid 7	0	0	0	0	0	0	0	0	0	0	0	102	338	230	31	45	25
Porsche Panamera S	0	0	0	0	0	0	0	0	0	0	0	0	52	570	113	0	0
Mercedes ML450h	0	0	0	0	0	0	0	0	0	0	0	627	1	22	11	20	10
Mercedes E400H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	158	53
Acura RLX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	250
BMW X6	0	0	0	0	0	0	0	0	0	0	0	205	43	3	0	0	0
Chrysler Aspen	0	0	0	0	0	0	0	0	0	46	33	0	0	0	0	0	0
GMC Sierra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	6	1
Dodge Durango	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
